,subset,element_number,FXY,ElementName,Value,Units
3,8,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,8,4,001001,WMO block number,91.0,Numeric
5,8,5,001002,WMO station number,592.0,Numeric
6,8,6,005001,Latitude (high accuracy),-16.44517,deg
7,8,7,006001,Longitude (high accuracy),-151.752,deg
8,8,8,007030,Height of station ground above mean sea level,3.0,m
9,8,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,8,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,8,11,008094,Method used to calculate the average daily temperature,2,Code table
12,8,12,004001,Year,2021.0,a
13,8,13,004002,Month,10.0,mon
14,8,14,004003,Day,9.0,d
15,8,15,004023,Time period or displacement,0.0,d
16,8,16,004004,Hour,18.0,h
17,8,17,004005,Minute,0.0,min
18,8,18,004006,Second,1.0,s
19,8,19,204008,Operator,,
20,8,20,031021,Associated field significance,5,Code table
21,8,21,,Associated field,0,
22,8,22,013060,Total accumulated precipitation,11.700000000000001,kg m-2
23,8,23,204000,Operator,,
24,8,24,004023,Time period or displacement,0.0,d
25,8,25,004004,Hour,18.0,h
26,8,26,004005,Minute,0.0,min
27,8,27,004006,Second,1.0,s
28,8,28,204008,Operator,,
29,8,29,031021,Associated field significance,5,Code table
30,8,30,,Associated field,6,
31,8,31,013012,Depth of fresh snow (depth of snowfall),,m
32,8,32,204000,Operator,,
33,8,33,004023,Time period or displacement,0.0,d
34,8,34,004004,Hour,18.0,h
35,8,35,004005,Minute,0.0,min
36,8,36,004006,Second,0.0,s
37,8,37,204008,Operator,,
38,8,38,031021,Associated field significance,5,Code table
39,8,39,,Associated field,6,
40,8,40,013013,Total snow depth (snow depth),,m
41,8,41,204000,Operator,,
42,8,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,8,43,004023,Time period or displacement,0.0,d
